City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
Bambous Virieux,75,MU,1584162040,94,-20.34,57.76,28.33,1.0
Kruisfontein,7,ZA,1584162331,82,-34.0,24.73,19.63,3.65
Reitz,47,ZA,1584162331,56,-27.8,28.43,17.79,0.22
Tromsø,20,NO,1584162331,85,69.65,18.96,-7.0,1.0
Kahului,40,US,1584162302,100,20.89,-156.47,23.0,2.1
Nelidovo,75,RU,1584162331,90,56.22,32.78,0.62,3.17
Hobart,75,AU,1584162044,47,-42.88,147.33,16.67,6.2
Butaritari,88,KI,1584162218,70,3.07,172.79,28.82,4.19
Jakarta,40,ID,1584162103,62,-6.21,106.85,34.0,3.6
Puerto Ayora,62,EC,1584162212,84,-0.74,-90.35,25.56,0.89
Busselton,100,AU,1584162215,29,-33.65,115.33,29.44,7.54
East London,12,ZA,1584162220,94,-33.02,27.91,21.0,4.1
Ancud,7,CL,1584162264,100,-41.87,-73.82,7.0,1.36
Tshikapa,100,CD,1584162332,97,-6.42,20.8,22.15,0.34
Saint-Joseph,75,RE,1584162332,83,-21.37,55.62,27.22,6.2
Codrington,90,AU,1584162262,66,-38.27,141.97,14.21,6.97
Kungurtug,2,RU,1584162333,92,50.6,97.52,-0.16,0.97
Rikitea,19,PF,1584162212,76,-23.12,-134.97,25.02,4.69
Cape Town,75,ZA,1584161975,93,-33.93,18.42,15.56,3.6
Chui,0,UY,1584162265,88,-33.7,-53.46,21.24,4.06
Saldanha,33,ZA,1584162333,88,-33.01,17.94,17.0,2.6
Kapaa,75,US,1584162215,64,22.08,-159.32,24.0,4.6
Madera,1,US,1584162333,84,37.17,-119.83,15.0,5.1
Avarua,4,CK,1584162239,70,-21.21,-159.78,29.0,1.5
Qasigiannguit,100,GL,1584162334,71,68.82,-51.19,-16.0,7.2
Arraial do Cabo,0,BR,1584162244,85,-22.97,-42.03,25.05,4.46
Narasannapeta,0,IN,1584162334,30,18.42,84.05,34.53,2.95
Albany,1,US,1584161977,55,42.6,-73.97,5.0,7.7
Saskylakh,67,RU,1584162261,87,71.92,114.08,-22.95,10.34
Amapá,93,BR,1584162334,94,1.0,-52.0,22.87,1.17
Lata,75,PT,1584162221,93,40.16,-8.33,11.11,1.0
Kaya,0,BF,1584162335,12,13.09,-1.08,23.19,4.51
Port Alfred,1,ZA,1584162224,98,-33.59,26.89,18.33,1.79
Beyneu,15,KZ,1584162335,46,45.32,55.2,11.39,6.71
Hat Yai,40,TH,1584162335,52,7.01,100.48,34.0,4.1
Upernavik,100,GL,1584162214,97,72.79,-56.15,-24.36,2.58
Kimbe,84,PG,1584162335,82,-5.55,150.14,27.27,2.62
La Ronge,20,CA,1584162259,58,55.1,-105.28,-20.0,3.1
Anadyr,56,RU,1584162065,79,64.75,177.48,-7.0,5.0
Longyan,94,CN,1584162336,72,25.11,117.02,18.24,2.09
Aklavik,90,CA,1584162336,67,68.22,-135.01,-5.0,1.0
Atuona,51,PF,1584162223,68,-9.8,-139.03,28.04,4.68
Erbil,75,IQ,1584162336,62,36.19,44.01,15.0,6.2
Pevek,100,RU,1584162229,97,69.7,170.31,-20.5,0.35
Sitka,1,US,1584162219,68,57.05,-135.33,2.0,2.75
Izberbash,99,RU,1584162337,100,42.57,47.86,7.0,1.0
Saint-Philippe,75,RE,1584162224,83,-21.36,55.77,27.22,6.2
Banda Aceh,0,ID,1584162186,50,5.56,95.32,32.35,3.28
Chapais,90,CA,1584162337,85,49.78,-74.85,-4.0,9.8
Gillette,90,US,1584162327,86,44.29,-105.5,-2.0,8.7
Koumac,100,NC,1584162337,82,-20.57,164.28,26.21,1.69
Ponta do Sol,75,PT,1584162217,63,32.67,-17.1,16.0,5.1
Tiruppuvanam,40,IN,1584162338,58,9.83,78.27,31.0,3.6
Sobolevo,5,RU,1584162338,82,54.43,31.9,1.74,4.57
Vao,100,NC,1584162268,89,-22.67,167.48,26.39,8.17
San Patricio,0,MX,1584162242,85,19.22,-104.7,23.9,2.43
Lebu,4,CL,1584162076,93,-37.62,-73.65,8.44,2.1
Hualmay,83,PE,1584162338,82,-11.1,-77.61,21.66,1.62
La Concordia,1,NI,1584162338,93,13.2,-86.17,16.13,2.24
Lavrentiya,100,RU,1584162338,97,65.58,-171.0,-0.82,6.56
Avera,1,US,1584162280,93,33.19,-82.53,20.0,1.47
Saint George,90,US,1584162214,93,37.1,-113.58,9.44,1.5
Bredasdorp,28,ZA,1584162230,87,-34.53,20.04,14.0,0.5
Bethel,1,US,1584162269,26,41.37,-73.41,9.0,8.7
Hithadhoo,14,MV,1584162109,57,-0.6,73.08,28.78,2.41
Otradnoye,98,RU,1584162339,57,59.78,30.82,-5.0,5.0
Kasongo-Lunda,100,CD,1584162339,98,-6.47,16.82,21.35,0.72
Kaeo,7,NZ,1584162339,70,-35.1,173.78,20.0,4.02
Bluff,53,NZ,1584162022,67,-46.6,168.33,14.86,2.77
Arman',100,RU,1584162276,81,59.7,150.17,-8.85,6.27
Flin Flon,92,CA,1584162340,98,54.77,-101.86,-18.92,1.86
Kemin,33,KG,1584162340,34,42.78,75.69,7.47,0.42
Pacific Grove,90,US,1584162340,81,36.62,-121.92,13.0,6.2
Tura,99,IN,1584162219,28,25.52,90.22,32.81,3.13
São João da Barra,4,BR,1584162274,88,-21.64,-41.05,25.07,1.69
Narsaq,98,GL,1584162184,79,60.92,-46.05,-7.0,0.59
Leh,100,IN,1584162271,60,34.17,77.58,-9.22,1.7
Carnarvon,0,AU,1584162218,70,-24.87,113.63,29.0,5.7
Seaford,75,GB,1584162341,93,50.77,0.1,8.0,3.6
Lhokseumawe,0,ID,1584162341,53,5.18,97.15,31.41,2.49
Bluefields,9,NI,1584162130,98,12.01,-83.76,21.52,0.76
Kavieng,8,PG,1584162213,76,-2.57,150.8,28.83,6.76
Pangnirtung,100,CA,1584162342,97,66.15,-65.71,-34.79,0.21
Olinda,40,BR,1584162342,65,-8.01,-34.86,28.0,3.6
Santa Cruz do Capibaribe,100,BR,1584162342,86,-7.96,-36.2,21.99,1.0
Sinait,20,PH,1584162342,70,17.87,120.46,29.0,6.7
Tasiilaq,96,GL,1584162218,77,65.61,-37.64,-15.0,0.5
Port Augusta,18,AU,1584162284,33,-32.5,137.77,23.33,8.7
Sri Aman,75,MY,1584162343,66,1.24,111.46,32.0,2.1
Tateyama,75,JP,1584161988,93,34.98,139.87,7.0,4.1
Port Elizabeth,90,ZA,1584162009,100,-33.92,25.57,17.0,6.2
Iqaluit,5,CA,1584162240,67,63.75,-68.51,-31.67,5.1
Majdanpek,47,RS,1584162343,87,44.43,21.95,4.76,2.64
Sibolga,5,ID,1584162273,49,1.74,98.78,33.33,1.84
Kambove,92,CD,1584162344,93,-10.88,26.6,19.38,0.44
Cherskiy,100,RU,1584162217,95,68.75,161.3,-23.82,2.82
Grimshaw,5,CA,1584162344,62,56.18,-117.6,-25.0,2.1
Nemuro,20,JP,1584162245,43,43.32,145.57,2.0,3.6
Dhidhdhoo,0,MV,1584162344,78,6.88,73.1,28.56,5.7
Kirakira,78,SB,1584162267,81,-10.45,161.92,27.57,4.57
Constitución,14,CL,1584162272,77,-35.33,-72.42,14.21,2.56
Cayenne,75,GF,1584162238,83,4.93,-52.33,26.0,4.6
Usvyaty,35,RU,1584162345,84,55.75,30.75,1.39,3.41
Chokurdakh,100,RU,1584162215,96,70.63,147.92,-26.06,4.02
Qena,0,EG,1584162345,63,26.16,32.72,16.0,2.6
Kyzyl-Suu,0,KG,1584162345,69,42.34,78.0,2.9,1.8
Port Lincoln,56,AU,1584162130,60,-34.73,135.87,17.43,8.22
Castro,67,BR,1584162226,90,-24.79,-50.01,13.86,1.78
Faya,40,SA,1584162260,93,18.39,42.45,15.0,4.1
Faanui,89,PF,1584162229,79,-16.48,-151.75,28.39,7.16
Rio Grande,1,BR,1584162346,91,-32.03,-52.1,22.22,0.45
New Norfolk,75,AU,1584162241,51,-42.78,147.06,16.11,7.2
Atasū,19,KZ,1584162238,93,48.68,71.64,1.12,3.73
Iquique,79,CL,1584162140,68,-20.22,-70.14,22.0,3.1
Leningradskiy,6,RU,1584162244,98,69.38,178.42,-21.24,2.7
Cañon City,90,US,1584162336,80,38.44,-105.24,1.0,1.86
Laguna,40,US,1584162237,66,38.42,-121.42,14.0,6.2
Oddur,100,SO,1584162347,68,4.12,43.89,26.11,8.54
Rundu,40,NA,1584162347,82,-17.93,19.77,20.0,2.6
Grindavik,40,IS,1584162271,79,63.84,-22.43,-4.0,5.1
Tuy Hoa,36,VN,1584162347,71,13.08,109.3,26.65,2.65
Saint-Pierre,75,RE,1584162275,83,-21.34,55.48,27.22,6.2
Gerāsh,100,IR,1584162347,76,27.67,54.14,12.0,2.7
Jumla,0,NP,1584162347,27,29.27,82.18,10.06,2.0
Bengkulu,100,ID,1584162252,73,-3.8,102.27,29.88,2.77
Pareora,0,NZ,1584162348,80,-44.49,171.21,16.67,2.24
Qaanaaq,0,GL,1584162231,58,77.48,-69.36,-30.0,2.49
Torbay,90,CA,1584162217,79,47.67,-52.73,-2.22,7.2
Mareeba,40,AU,1584162005,52,-17.0,145.43,32.0,4.6
Brora,40,GB,1584162290,83,58.01,-3.85,5.0,2.6
Zyryanka,73,RU,1584162256,82,65.75,150.85,-20.49,0.97
Hervey Bay,40,AU,1584162348,45,-25.3,152.85,29.44,7.7
Suleja,30,NG,1584162349,38,9.18,7.18,24.0,2.1
Haradok,71,BY,1584162349,89,55.46,29.98,1.0,4.03
Thompson,40,CA,1584162181,53,55.74,-97.86,-20.0,2.6
São Filipe,100,CV,1584162247,59,14.9,-24.5,23.53,5.37
Illapel,52,CL,1584162349,76,-31.63,-71.17,11.81,1.24
Tuatapere,84,NZ,1584162247,67,-46.13,167.68,15.89,0.7
Kumul,39,CN,1584162224,14,42.8,93.45,8.83,3.23
Sisimiut,100,GL,1584162171,96,66.94,-53.67,-19.47,2.78
Snina,18,SK,1584162350,81,48.99,22.15,2.9,2.32
Havelock,94,US,1584162350,82,34.88,-76.9,17.0,1.5
Khorixas,0,NA,1584162350,34,-20.37,14.97,23.92,1.31
Calvinia,90,ZA,1584162350,93,-31.47,19.78,12.0,3.1
Soe,72,ID,1584162350,65,-9.86,124.28,29.78,3.14
Denpasar,20,ID,1584162166,79,-8.65,115.22,30.0,3.1
Chaiyo,0,TH,1584162350,48,14.68,100.47,37.78,0.45
Minas,0,UY,1584162350,64,-34.38,-55.24,24.44,5.1
Mount Isa,0,AU,1584162351,19,-20.73,139.5,33.0,7.2
Beringovskiy,100,RU,1584162351,76,63.05,179.32,-8.57,2.8
Ola,100,RU,1584162249,73,59.58,151.28,-10.53,11.52
Cabo San Lucas,40,MX,1584162039,68,22.89,-109.91,22.22,4.89
Ixtapa,5,MX,1584162351,83,20.7,-105.2,24.0,2.1
Severo-Kuril'sk,75,RU,1584162219,82,50.68,156.12,-7.99,11.71
Hailar,24,CN,1584162351,75,49.2,119.7,-6.49,5.82
Acajutla,0,SV,1584162314,92,13.59,-89.83,23.33,2.85
Krasnyy Yar,21,RU,1584162351,75,46.53,48.35,6.0,3.0
Uglekamensk,86,RU,1584162352,51,43.22,133.23,1.65,5.26
Tuktoyaktuk,90,CA,1584162131,85,69.45,-133.04,-6.0,13.4
Westport,1,US,1584162352,26,41.14,-73.36,11.0,8.7
Kiryat Gat,40,IL,1584162352,87,31.61,34.76,15.0,2.1
Coyhaique,4,CL,1584162352,70,-45.58,-72.07,9.0,1.0
Shepsi,100,RU,1584162352,80,44.04,39.15,12.72,3.33
Souillac,75,MU,1584162233,94,-20.52,57.52,28.33,1.0
Chumikan,100,RU,1584162352,71,54.72,135.31,-8.96,2.46
Khatanga,100,RU,1584162242,94,71.97,102.5,-14.17,5.7
Kislovodsk,100,RU,1584162353,93,43.91,42.72,3.0,4.0
Adré,63,TD,1584162271,22,13.47,22.2,17.44,7.84
Lima,48,PE,1584162000,78,-12.04,-77.03,24.0,6.7
Santiago del Estero,100,AR,1584162353,38,-27.8,-64.26,30.08,4.79
Clyde River,90,CA,1584162185,75,70.47,-68.59,-26.0,7.2
Geraldton,90,AU,1584162247,45,-28.77,114.6,31.11,7.2
Daru,75,PG,1584162246,72,-9.08,143.21,30.19,2.69
Huambo,95,AO,1584162354,93,-12.78,15.74,17.41,0.38
Airai,17,TL,1584162224,53,-8.93,125.41,27.42,2.75
Marystown,100,CA,1584162354,81,47.17,-55.15,-1.0,14.67
Nishihara,90,JP,1584162240,68,26.18,127.76,18.0,8.7
Simpang,52,ID,1584162354,74,-1.27,104.08,30.47,1.72
Río Gallegos,49,AR,1584162231,81,-51.62,-69.22,8.0,2.6
San Cristobal,75,VE,1584162235,69,7.77,-72.22,27.0,2.1
St. George's,20,GD,1584162056,83,12.06,-61.75,25.0,1.0
Kenai,1,US,1584162355,44,60.55,-151.26,-4.0,3.1
Moscow,11,RU,1584162019,83,55.75,37.62,3.33,2.0
Esperance,90,AU,1584162213,68,-33.87,121.9,22.0,6.2
Saint Paul Harbor,1,US,1584161986,68,57.79,-152.41,-1.0,2.1
Broome,90,US,1584162041,59,42.25,-75.83,3.0,6.2
Carballo,90,ES,1584162253,100,43.21,-8.69,10.0,2.1
Waconia,1,US,1584162355,68,44.85,-93.79,-2.22,3.1
Hilo,90,US,1584162004,83,19.73,-155.09,23.89,3.6
Paamiut,8,GL,1584162184,64,61.99,-49.67,-16.43,4.16
Mar del Plata,90,AR,1584162222,93,-38.0,-57.56,19.44,13.4
Xochistlahuaca,26,MX,1584162356,84,16.78,-98.25,17.71,1.65
Grand Gaube,75,MU,1584162247,94,-20.01,57.66,28.33,1.0
Dikson,100,RU,1584162239,96,73.51,80.55,-1.08,7.71
Vila Franca do Campo,20,PT,1584162356,81,37.72,-25.43,12.0,3.1
Omsukchan,83,RU,1584162356,95,62.53,155.8,-24.87,4.65
Muros,75,ES,1584162356,93,42.78,-9.06,8.33,2.6
Nikolskoye,100,RU,1584162241,57,59.7,30.79,-5.0,5.0
Norman Wells,75,CA,1584162214,66,65.28,-126.83,-12.0,1.0
Dongsheng,0,CN,1584162357,28,39.82,109.98,4.01,9.65
Manoel Urbano,100,BR,1584162357,87,-8.84,-69.26,23.49,0.51
El Copey,27,CO,1584162357,80,10.15,-73.96,25.56,0.89
Celendín,99,PE,1584162357,85,-6.87,-78.15,11.88,0.92
Christchurch,0,NZ,1584162122,72,-43.53,172.63,23.33,5.7
Aguçadoura,11,PT,1584162357,93,41.43,-8.78,10.56,2.6
Makhinjauri,75,GE,1584162357,100,41.67,41.69,11.0,6.2
City of San Pedro,20,PH,1584162358,46,14.35,121.02,33.33,3.1
College,1,US,1584162200,71,64.86,-147.8,-6.0,1.04
Porto-Novo,40,BJ,1584162027,88,6.5,2.6,28.0,2.6
Mount Gambier,35,AU,1584162229,42,-37.83,140.77,18.0,8.2
La Palma,90,US,1584162358,82,33.85,-118.05,14.44,1.5
Comodoro Rivadavia,59,AR,1584162089,68,-45.87,-67.5,15.83,6.25
Oussouye,0,SN,1584162358,44,12.48,-16.55,26.0,4.1
Nanortalik,100,GL,1584162225,72,60.14,-45.24,-4.91,7.01
Santa Marta,9,CO,1584162113,74,11.24,-74.2,28.0,2.1
Khanpur,0,PK,1584162359,26,28.65,70.66,24.04,1.04
Ahipara,77,NZ,1584162274,69,-35.17,173.17,20.34,2.35
Ribeira Brava,75,PT,1584162359,63,32.65,-17.07,16.0,5.1
Port Hedland,9,AU,1584162359,47,-20.32,118.57,36.0,5.7
Karwar,0,IN,1584162359,48,14.8,74.13,27.19,2.98
Alofi,100,NU,1584162220,88,-19.06,-169.92,27.0,2.1
Port Moresby,75,PG,1584162329,70,-9.44,147.18,32.0,7.7
Kholtoson,0,RU,1584162359,52,50.3,103.31,2.42,1.29
Kālpi,0,IN,1584162360,28,26.12,79.73,28.48,1.7
Ekuvukeni,100,ZA,1584162360,74,-28.47,30.16,18.69,0.84
San Policarpo,43,PH,1584162360,68,12.18,125.51,27.61,4.1
Grand-Santi,30,GF,1584162360,91,4.25,-54.38,21.76,0.78
Kattivākkam,40,IN,1584162360,58,13.22,80.32,31.0,2.1
Necochea,90,AR,1584162246,97,-38.55,-58.74,18.33,0.89
Aksarka,100,RU,1584162361,100,66.56,67.8,0.15,3.7
Lompoc,90,US,1584162000,81,34.64,-120.46,13.33,4.1
Galle,0,LK,1584162133,77,6.04,80.22,27.09,0.35
Port Blair,100,IN,1584162116,69,11.67,92.75,27.93,4.57
Gorontalo,14,ID,1584162180,53,0.54,123.06,32.12,2.92
Alyangula,40,AU,1584162361,59,-13.85,136.42,34.0,3.1
Pisco,73,PE,1584162237,78,-13.7,-76.22,23.0,1.0
Nakamura,23,JP,1584162361,53,32.98,132.93,13.05,5.09
Los Llanos de Aridane,75,ES,1584162257,77,28.66,-17.92,18.0,4.6
Bassano,100,CA,1584162362,85,50.78,-112.47,-16.11,3.58
Ternate,100,ID,1584162156,83,0.8,127.4,27.11,3.19
Cascais,20,PT,1584162202,87,38.7,-9.42,13.33,4.1
San Quintín,45,MX,1584162362,82,30.48,-115.95,15.55,2.11
Ust'-Kan,68,RU,1584162362,80,50.93,84.76,-1.1,6.11
Namatanai,3,PG,1584162362,76,-3.67,152.43,28.85,6.02
Bubaque,10,GW,1584162246,47,11.28,-15.83,26.58,6.59
Pinyug,100,RU,1584162363,89,60.25,47.78,-0.48,5.79
Kirensk,84,RU,1584162363,91,57.79,108.11,-3.98,2.57
Thunder Bay,5,CA,1584162324,67,48.4,-89.32,-6.67,5.1
Gweta,16,BW,1584162363,73,-20.18,25.23,23.18,2.15
Sinegorskiy,87,RU,1584162363,74,48.01,40.84,9.43,5.16
Bartica,60,GY,1584161973,83,6.4,-58.62,25.0,1.0
Bandarbeyla,90,SO,1584162212,80,9.49,50.81,26.14,7.1
Padang,38,ID,1584162235,73,-0.95,100.35,27.88,0.88
Tiksi,0,RU,1584162228,79,71.69,128.87,-26.9,2.11
Tirano,75,IT,1584162364,85,46.22,10.17,10.56,1.0
Kabompo,79,ZM,1584162364,96,-13.59,24.2,19.67,2.08
Husavik,90,IS,1584162364,68,66.04,-17.34,-3.0,9.8
Okhotsk,100,RU,1584162364,75,59.38,143.3,-11.36,6.24
Santa Maria,0,BR,1584162227,68,-29.68,-53.81,23.45,1.91
Antibes,75,FR,1584162364,93,43.56,7.13,12.0,2.1
Boda,59,CF,1584162364,42,4.32,17.47,23.52,1.6
Örnsköldsvik,0,SE,1584162364,61,63.29,18.72,-7.0,8.2
Skopelos Town,13,GR,1584162365,71,39.12,23.72,12.22,1.0
Sept-Îles,90,CA,1584162365,92,50.2,-66.38,-6.67,10.3
Champerico,11,GT,1584162284,77,14.3,-91.92,24.82,2.06
Charleville,0,AU,1584162365,28,-26.4,146.25,29.0,8.2
Roald,44,NO,1584162253,59,62.58,6.13,1.0,6.2
Manggar,20,ID,1584162365,70,-2.88,108.27,28.21,1.99
Guayaramerín,100,BO,1584162365,87,-10.84,-65.36,24.49,0.47
Xunchang,90,CN,1584162365,29,28.45,104.72,20.8,2.02
Guerrero Negro,0,MX,1584162234,78,27.98,-114.06,16.54,3.34
Dingle,72,PH,1584162239,54,11.0,122.67,30.81,4.62
Malanje,100,AO,1584162366,96,-9.54,16.34,18.98,1.75
Kaitangata,10,NZ,1584162242,85,-46.28,169.85,12.97,4.27
Burnie,32,AU,1584162366,48,-41.07,145.92,17.22,3.58
Praia da Vitória,20,PT,1584162226,87,38.73,-27.07,13.0,1.45
Wooster,1,US,1584162366,51,40.81,-81.94,5.0,3.6
Hamilton,1,US,1584162032,80,39.18,-84.53,5.56,1.43
Menongue,97,AO,1584162367,92,-14.66,17.69,18.07,1.94
Province of Trapani,96,IT,1584162367,87,37.83,12.67,15.0,2.6
Ust'-Ordynskiy,94,RU,1584162367,65,52.8,104.75,5.0,3.0
Esmeraldas,67,BR,1584162139,83,-19.76,-44.31,22.0,4.6
Nhulunbuy,40,AU,1584162096,44,-12.23,136.77,35.0,2.6
Baykit,100,RU,1584162367,91,61.67,96.37,0.05,3.87
Kapoeta,99,SS,1584162368,58,4.77,33.59,28.46,0.42
Helena,90,US,1584162305,72,46.59,-112.04,-9.44,4.6
Mishkino,94,RU,1584162368,87,55.34,63.92,3.99,9.71
Seminole,75,US,1584162368,77,28.71,-81.21,22.78,1.32
Bam,67,IR,1584162368,9,29.11,58.36,23.06,0.94
Jelgava,40,LV,1584162368,73,56.65,23.71,0.0,7.7
Narsīpatnam,20,IN,1584162368,55,17.67,82.62,31.0,2.1
Poum,98,NC,1584162177,77,-20.23,164.02,28.16,4.19
Sola,100,VU,1584162369,76,-13.88,167.55,29.38,5.9
Hasaki,75,JP,1584162227,93,35.73,140.83,5.0,7.2
Conceição da Barra,61,BR,1584162369,76,-18.59,-39.73,26.78,4.42
Vostok,99,RU,1584162254,80,46.49,135.88,-5.78,3.83
Naze,90,JP,1584162369,72,28.37,129.48,17.0,10.3
Aswān,0,EG,1584162369,47,24.09,32.91,15.0,2.1
Ust'-Kut,92,RU,1584162369,98,56.79,105.77,-0.11,2.17
Meulaboh,0,ID,1584162222,73,4.14,96.13,28.81,1.53
Caravelas,61,BR,1584162231,75,-17.71,-39.25,26.46,1.47
Koulamoutou,85,GA,1584162370,87,-1.13,12.47,23.13,0.44
Erdenet,20,MN,1584162220,84,49.03,104.08,-0.77,1.86
San Fernando del Valle de Catamarca,99,AR,1584162370,59,-28.47,-65.79,31.67,3.58
Matadi,70,CD,1584162370,94,-5.82,13.45,23.87,0.6
Powell River,20,CA,1584162086,34,49.85,-124.54,3.89,6.7
Korop,9,UA,1584162370,77,51.57,32.96,4.31,6.41
West Monroe,90,US,1584162370,87,32.52,-92.15,13.89,2.1
Guane,0,CU,1584162371,85,22.2,-84.09,23.53,7.49
Bodītī,99,ET,1584162371,84,6.97,37.87,17.3,0.93
Chenghai,90,CN,1584162371,88,23.46,116.77,19.0,3.0
Terrace,5,CA,1584162283,35,54.52,-128.6,-5.0,2.6
Margate,40,GB,1584162115,87,51.38,1.39,8.0,4.6
Ormara,17,PK,1584162277,55,25.21,64.64,22.16,2.29
Taltal,75,CL,1584162232,90,-25.4,-70.48,15.25,0.77
Touros,75,BR,1584162277,100,-5.2,-35.46,24.0,3.1
Katsuura,75,JP,1584162237,93,35.13,140.3,5.0,8.7
Cabatuan,72,PH,1584162372,54,10.88,122.49,30.81,4.62
Shelburne,90,CA,1584162372,55,44.08,-80.2,2.22,3.1
Kwekwe,0,ZW,1584162372,68,-18.93,29.81,22.06,1.36
Chakradharpur,75,IN,1584162372,61,22.7,85.63,25.0,2.6
Quesnel,1,CA,1584161759,42,53.0,-122.5,-13.0,10.3
Sinnamary,52,GF,1584162065,80,5.38,-52.95,26.6,7.99
Coquimbo,20,CL,1584162256,93,-29.95,-71.34,16.0,2.1
Assaré,93,BR,1584162373,98,-6.87,-39.88,20.09,0.58
Fare,91,PF,1584162373,78,-16.7,-151.02,28.52,6.99
Howard Springs,20,AU,1584162373,59,-12.5,131.05,35.0,5.7
Del Rio,1,US,1584162373,77,29.36,-100.9,24.0,5.0
Farsund,0,NO,1584162373,62,58.09,6.8,-0.56,1.34
Hanna,100,CA,1584162152,82,51.63,-111.9,-18.89,4.47
Araguaçu,5,BR,1584162373,88,-12.93,-49.83,22.3,1.48
Zelenoborskiy,100,RU,1584162374,82,66.84,32.36,-11.66,4.47
Bonavista,100,CA,1584162374,80,48.65,-53.11,-2.78,4.92
Marsh Harbour,31,BS,1584162003,85,26.54,-77.06,22.58,6.04
Kawalu,100,ID,1584162374,66,-7.38,108.21,28.58,1.61
Healdsburg,90,US,1584162374,81,38.61,-122.87,11.0,7.2
Vicuña,20,CL,1584162374,93,-30.03,-70.71,16.67,2.1
Camocim,100,BR,1584162374,99,-2.9,-40.84,22.24,1.46
Mahébourg,75,MU,1584162245,94,-20.41,57.7,28.33,1.0
Nalgonda,17,IN,1584162375,31,17.05,79.27,33.53,4.41
Chai Badan,2,TH,1584162375,48,15.2,101.13,37.78,1.96
Sungai Penuh,65,ID,1584162283,69,-2.08,101.38,24.61,1.12
Petrila,40,RO,1584162375,100,45.45,23.42,3.0,2.1
Lixouri,61,GR,1584162375,67,38.2,20.43,10.56,1.34
Douentza,0,ML,1584162375,18,15.0,-2.95,18.86,0.64
Saint-François,75,FR,1584162375,92,46.42,3.91,-1.0,1.0
Prieska,0,ZA,1584162375,55,-29.66,22.75,22.21,5.12
Majagual,91,CO,1584162376,94,8.54,-74.62,23.62,1.57
Berlevåg,100,NO,1584162269,65,70.86,29.09,-6.6,7.32
Vardø,100,NO,1584162241,76,70.37,31.11,-6.58,10.17
Krapivinskiy,92,RU,1584162376,55,55.0,86.81,1.0,6.0
Mossamedes,92,AO,1584162229,72,-15.2,12.15,24.23,2.31
Salalah,40,OM,1584162262,60,17.02,54.09,23.0,2.1
